date,hour,station,line,pax_TOTAL
2024-03-01,12,General Belgrano,E,206
2024-03-01,12,General San Martin,C,183
2024-03-01,12,Hospitales,H,541
2024-03-01,12,Humberto I,H,330
2024-03-01,12,Inclan,H,288
2024-03-01,12,Independencia,C,257
2024-03-01,12,Independencia.H,E,239
2024-03-01,12,Jose Maria Moreno,E,174
2024-03-01,12,Jujuy,E,167
2024-03-01,12,Las Heras,H,379
2024-03-01,12,Lavalle,C,227
2024-03-01,12,Leandro N. Alem,B,589
2024-03-01,12,Lima,A,15
2024-03-01,12,Loria,A,450
2024-03-01,12,Los Incas,B,403
2024-03-01,12,Malabia,B,811
2024-03-01,12,Mariano Moreno,C,179
2024-03-01,12,Medalla Milagrosa,E,93
2024-03-01,12,Medrano,B,920
2024-03-01,12,Ministro Carranza,D,2
2024-03-01,12,Once,H,998
2024-03-01,12,Pasco,A,12
2024-03-01,12,Pasteur,B,849
2024-03-01,12,Patricios,H,429
2024-03-01,12,Peru,A,2
2024-03-01,12,Pichincha,E,146
2024-03-01,12,Piedras,A,54
2024-03-01,12,Plaza Miserere,A,505
2024-03-01,12,Plaza de Mayo,A,82
2024-03-01,12,Primera Junta,A,606
2024-03-01,12,Puan,A,333
2024-03-01,12,Pueyrredon,B,773
2024-03-01,12,Pueyrredon.D,D,1
2024-03-01,12,Pza. de los Virreyes,E,439
2024-03-01,12,Retiro,C,1340
2024-03-01,12,Retiro E,E,236
2024-03-01,12,Rio de Janeiro,A,546
2024-03-01,12,Rosas,B,1210
2024-03-01,12,Saenz Pena ,A,50
2024-03-01,12,San Jose,E,141
2024-03-01,12,San Juan,C,215
2024-03-01,12,San Pedrito,A,1226
2024-03-01,12,Santa Fe,H,687
2024-03-01,12,Tronador,B,279
2024-03-01,12,Urquiza,E,214
2024-03-01,12,Uruguay,B,740
2024-03-01,12,Varela,E,133
2024-03-01,12,Venezuela,H,449
2024-03-01,13,Acoyte,A,612
2024-03-01,13,Aguero,D,1
2024-03-01,13,Angel Gallardo,B,683
2024-03-01,13,Avenida La Plata,E,242
2024-03-01,13,Avenida de Mayo,C,232
2024-03-01,13,Boedo,E,250
2024-03-01,13,Bolivar,E,553
2024-03-01,13,Callao.B,B,790
2024-03-01,13,Carabobo,A,446
2024-03-01,13,Carlos Gardel,B,715
2024-03-01,13,Carlos Pellegrini,B,994
2024-03-01,13,Caseros,H,406
2024-03-01,13,Castro Barros,A,380
2024-03-01,13,Catalinas,E,134
2024-03-01,13,Constitucion,C,2514
2024-03-01,13,Cordoba,H,479
2024-03-01,13,Correo Central,E,243
2024-03-01,13,Corrientes,H,285
2024-03-01,13,Diagonal Norte,C,246
2024-03-01,13,Dorrego,B,563
2024-03-01,13,Echeverria,B,264
2024-03-01,13,Emilio Mitre,E,177
2024-03-01,13,Entre Rios,E,207
2024-03-01,13,Facultad de Derecho,H,141
2024-03-01,13,Federico Lacroze,B,1084
2024-03-01,13,Flores,A,486
2024-03-01,13,Florida,B,852
2024-03-01,13,General Belgrano,E,196
2024-03-01,13,General San Martin,C,202
2024-03-01,13,Hospitales,H,630
2024-03-01,13,Humberto I,H,297
2024-03-01,13,Inclan,H,254
2024-03-01,13,Independencia,C,229
2024-03-01,13,Independencia.H,E,252
2024-03-01,13,Jose Maria Moreno,E,175
2024-03-01,13,Jujuy,E,148
2024-03-01,13,Las Heras,H,377
2024-03-01,13,Lavalle,C,249
2024-03-01,13,Leandro N. Alem,B,761
2024-03-01,13,Lima,A,3
2024-03-01,13,Loria,A,387
2024-03-01,13,Los Incas,B,387
2024-03-01,13,Malabia,B,726
2024-03-01,13,Mariano Moreno,C,257
2024-03-01,13,Medalla Milagrosa,E,94
2024-03-01,13,Medrano,B,830
2024-03-01,13,Ministro Carranza,D,1
2024-03-01,13,Once,H,1136
2024-03-01,13,Pasteur,B,703
2024-03-01,13,Patricios,H,475
2024-03-01,13,Peru,A,2
